generacion,fitness,fitness_promedio,fitness_max,fitness_min,fitness_varianza,tiempo (ms)
0,10118.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10119.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10119.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10119.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10120.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10120.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10121.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10121.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10122.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10122.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10123.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10124.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10127.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10128.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10128.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10128.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10128.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10129.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10129.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10129.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10130.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10131.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10131.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10131.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10133.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10133.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10134.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10134.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10137.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10138.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10139.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10140.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10141.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10142.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10142.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10142.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10142.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10144.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10145.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10146.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10147.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10150.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10151.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10224.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10216.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10228.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10155.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10173.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10223.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10190.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10153.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10175.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10245.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10246.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10238.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10232.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10185.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10181.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10164.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10170.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10152.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10153.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10162.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
0,10259.0,10089.916,10380.0,9822.0,6488.3589440000005,0.0
